"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Bevolking (aantal)"
"Totaal mannen en vrouwen";"15 tot 20 jaar";"Totaal burgerlijke staat";"2020";1049158
"Totaal mannen en vrouwen";"20 tot 25 jaar";"Totaal burgerlijke staat";"2020";1094585
"Totaal mannen en vrouwen";"25 tot 30 jaar";"Totaal burgerlijke staat";"2020";1138965
"Totaal mannen en vrouwen";"30 tot 35 jaar";"Totaal burgerlijke staat";"2020";1102103
"Totaal mannen en vrouwen";"35 tot 40 jaar";"Totaal burgerlijke staat";"2020";1045828
"Totaal mannen en vrouwen";"40 tot 45 jaar";"Totaal burgerlijke staat";"2020";1022008
"Totaal mannen en vrouwen";"45 tot 50 jaar";"Totaal burgerlijke staat";"2020";1186068
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Totaal burgerlijke staat";"2020";1281826
"Totaal mannen en vrouwen";"55 tot 60 jaar";"Totaal burgerlijke staat";"2020";1250592
"Totaal mannen en vrouwen";"60 tot 65 jaar";"Totaal burgerlijke staat";"2020";1117798
"Totaal mannen en vrouwen";"65 tot 70 jaar";"Totaal burgerlijke staat";"2020";996048
"Totaal mannen en vrouwen";"70 tot 75 jaar";"Totaal burgerlijke staat";"2020";941219
